result,TeamID,TeamID:1,Goals,Losses,Points,Goals:1,Losses:1,Points:1
0,8455,8528,38,7,41,23,22,25
0,8455,8456,38,7,41,36,28,21
0,8455,10194,38,7,41,17,31,20
0,8455,8549,38,7,41,17,28,20
0,8455,8667,38,7,41,28,36,27
0,8455,8655,38,7,41,20,34,17
0,8455,8659,38,7,41,14,35,15
0,8455,8559,38,7,41,22,27,23
1,8455,8668,38,7,41,24,25,29
1,8455,9879,38,7,41,16,15,25
2,8455,10260,38,7,41,32,10,41
2,8455,8650,38,7,41,30,12,42
0,8455,10252,38,7,41,32,22,35
0,8455,8462,38,7,41,21,32,23
2,8455,8586,38,7,41,20,23,20
0,8455,10261,38,7,41,25,27,22
0,8455,8654,38,7,41,22,27,22
0,8455,9825,38,7,41,32,23,32
0,8455,8472,38,7,41,21,26,22
2,8456,10252,36,28,21,32,22,35
0,8456,8472,36,28,21,21,26,22
2,8456,8528,36,28,21,23,22,25
1,8456,10261,36,28,21,25,27,22
2,8456,8549,36,28,21,17,28,20
2,8456,8559,36,28,21,22,27,23
1,8456,8667,36,28,21,28,36,27
1,8456,9879,36,28,21,16,15,25
2,8456,8659,36,28,21,14,35,15
1,8456,8655,36,28,21,20,34,17
2,8456,8462,36,28,21,21,32,23
2,8456,10194,36,28,21,17,31,20
1,8456,8650,36,28,21,30,12,42
2,8456,8654,36,28,21,22,27,22
2,8456,8455,36,28,21,38,7,41
2,8456,9825,36,28,21,32,23,32
0,8456,8668,36,28,21,24,25,29
2,8456,10260,36,28,21,32,10,41
2,8456,8586,36,28,21,20,23,20
2,8462,8455,21,32,23,38,7,41
0,8462,8668,21,32,23,24,25,29
2,8462,8456,21,32,23,36,28,21
1,8462,10252,21,32,23,32,22,35
2,8462,8650,21,32,23,30,12,42
0,8462,8472,21,32,23,21,26,22
1,8462,8654,21,32,23,22,27,22
1,8462,8659,21,32,23,14,35,15
2,8462,8559,21,32,23,22,27,23
2,8462,9825,21,32,23,32,23,32
1,8462,8586,21,32,23,20,23,20
2,8462,9879,21,32,23,16,15,25
1,8462,10194,21,32,23,17,31,20
2,8462,10260,21,32,23,32,10,41
1,8462,8549,21,32,23,17,28,20
1,8462,8667,21,32,23,28,36,27
1,8462,10261,21,32,23,25,27,22
2,8462,8655,21,32,23,20,34,17
2,8462,8528,21,32,23,23,22,25
0,8472,8586,21,26,22,20,23,20
1,8472,8528,21,26,22,23,22,25
2,8472,10252,21,26,22,32,22,35
1,8472,9879,21,26,22,16,15,25
2,8472,10194,21,26,22,17,31,20
2,8472,8455,21,26,22,38,7,41
0,8472,8655,21,26,22,20,34,17
2,8472,10260,21,26,22,32,10,41
0,8472,8667,21,26,22,28,36,27
2,8472,8668,21,26,22,24,25,29
1,8472,8549,21,26,22,17,28,20
1,8472,10261,21,26,22,25,27,22
1,8472,9825,21,26,22,32,23,32
2,8472,8650,21,26,22,30,12,42
2,8472,8456,21,26,22,36,28,21
2,8472,8654,21,26,22,22,27,22
2,8472,8659,21,26,22,14,35,15
1,8472,8559,21,26,22,22,27,23
2,8472,8462,21,26,22,21,32,23
2,8528,8654,23,22,25,22,27,22
0,8528,8667,23,22,25,28,36,27
1,8528,8586,23,22,25,20,23,20
2,8528,8650,23,22,25,30,12,42
2,8528,9879,23,22,25,16,15,25
0,8528,8462,23,22,25,21,32,23
1,8528,10261,23,22,25,25,27,22
2,8528,9825,23,22,25,32,23,32
2,8528,10260,23,22,25,32,10,41
0,8528,8559,23,22,25,22,27,23
2,8528,8456,23,22,25,36,28,21
1,8528,10252,23,22,25,32,22,35
1,8528,8549,23,22,25,17,28,20
2,8528,8455,23,22,25,38,7,41
0,8528,8472,23,22,25,21,26,22
2,8528,8668,23,22,25,24,25,29
2,8528,8655,23,22,25,20,34,17
2,8528,8659,23,22,25,14,35,15
2,8528,10194,23,22,25,17,31,20
2,8549,8650,17,28,20,30,12,42
2,8549,8462,17,28,20,21,32,23
2,8549,8472,17,28,20,21,26,22
0,8549,8528,17,28,20,23,22,25
1,8549,8655,17,28,20,20,34,17
0,8549,10252,17,28,20,32,22,35
1,8549,8668,17,28,20,24,25,29
2,8549,8667,17,28,20,28,36,27
2,8549,9879,17,28,20,16,15,25
2,8549,10260,17,28,20,32,10,41
2,8549,8659,17,28,20,14,35,15
2,8549,8455,17,28,20,38,7,41
2,8549,8456,17,28,20,36,28,21
2,8549,8586,17,28,20,20,23,20
2,8549,10194,17,28,20,17,31,20
2,8549,8559,17,28,20,22,27,23
2,8549,9825,17,28,20,32,23,32
2,8549,10261,17,28,20,25,27,22
2,8549,8654,17,28,20,22,27,22
2,8559,10261,22,27,23,25,27,22
2,8559,9879,22,27,23,16,15,25
2,8559,10260,22,27,23,32,10,41
0,8559,8654,22,27,23,22,27,22
2,8559,8586,22,27,23,20,23,20
0,8559,8667,22,27,23,28,36,27
0,8559,8549,22,27,23,17,28,20
0,8559,8472,22,27,23,21,26,22
2,8559,10252,22,27,23,32,22,35
