result,TeamID,TeamID:1,Goals,losses,Points,Goals:1,losses:1,Points:1
2,8654,10252,19,32,16,22,31,23
2,8668,8655,21,22,22,23,30,22
1,9879,8559,17,24,16,32,25,29
2,8659,8455,25,32,23,34,16,34
1,9825,8650,38,20,38,23,24,25
2,10261,10260,30,29,25,42,20,40
1,8658,8472,18,23,19,21,20,27
1,8456,8586,28,16,35,28,26,30
2,10194,8602,23,23,24,20,33,16
0,8483,8528,31,34,28,16,31,19
2,8483,9825,31,34,28,38,20,38
0,8559,8654,32,25,29,19,32,16
1,8602,8668,20,33,16,21,22,22
2,10252,10261,22,31,23,30,29,25
2,8650,8456,23,24,25,28,16,35
1,10260,9879,42,20,40,17,24,16
2,8655,8658,23,30,22,18,23,19
2,8472,8659,21,20,27,25,32,23
0,8586,10194,28,26,30,23,23,24
0,8455,8528,34,16,34,16,31,19
2,8654,10260,19,32,16,42,20,40
2,8659,8650,25,32,23,23,24,25
2,8456,8472,28,16,35,21,20,27
0,8528,8586,16,31,19,28,26,30
2,8668,10252,21,22,22,22,31,23
1,10261,8602,30,29,25,20,33,16
0,9825,8655,38,20,38,23,30,22
1,8658,8559,18,23,19,32,25,29
1,9879,8483,17,24,16,31,34,28
2,10194,8455,23,23,24,34,16,34
2,8559,9825,32,25,29,38,20,38
0,8455,8654,34,16,34,19,32,16
1,10260,8668,42,20,40,21,22,22
0,8483,10261,31,34,28,30,29,25
1,8655,8456,23,30,22,28,16,35
2,8602,9879,20,33,16,17,24,16
1,8650,8658,23,24,25,18,23,19
1,8586,8659,28,26,30,25,32,23
2,10252,10194,22,31,23,23,23,24
1,8472,8528,21,20,27,16,31,19
2,8650,10260,23,24,25,42,20,40
1,9825,8472,38,20,38,21,20,27
2,8602,8586,20,33,16,28,26,30
1,8559,10252,32,25,29,22,31,23
0,10261,8668,30,29,25,21,22,22
1,9879,8655,17,24,16,23,30,22
2,8658,8659,18,23,19,25,32,23
1,8654,10194,19,32,16,23,23,24
0,8456,8528,28,16,35,16,31,19
2,8483,8455,31,34,28,34,16,34
0,8659,9825,25,32,23,38,20,38
1,8472,8650,21,20,27,23,24,25
2,8586,8654,28,26,30,19,32,16
0,10194,10261,23,23,24,30,29,25
2,8455,8456,34,16,34,28,16,35
0,10252,8602,22,31,23,20,33,16
1,8668,9879,21,22,22,17,24,16
1,8528,8658,16,31,19,18,23,19
1,10260,8559,42,20,40,32,25,29
0,8655,8483,23,30,22,31,34,28
0,8483,8650,31,34,28,23,24,25
1,10260,8472,42,20,40,21,20,27
2,10252,8586,22,31,23,28,26,30
1,9879,8654,17,24,16,19,32,16
2,10261,8456,30,29,25,28,16,35
0,8668,8658,21,22,22,18,23,19
1,8559,8659,32,25,29,25,32,23
2,8655,10194,23,30,22,23,23,24
2,8602,8528,20,33,16,16,31,19
2,9825,8455,38,20,38,34,16,34
1,8659,10260,25,32,23,42,20,40
2,8658,9825,18,23,19,38,20,38
1,8455,10252,34,16,34,22,31,23
2,8650,8668,23,24,25,21,22,22
1,8528,10261,16,31,19,30,29,25
1,8654,8602,19,32,16,20,33,16
1,8472,8655,21,20,27,23,30,22
0,8586,9879,28,26,30,17,24,16
2,10194,8559,23,23,24,32,25,29
0,8456,8483,28,16,35,31,34,28
2,8655,8650,23,30,22,23,24,25
2,10252,8472,22,31,23,21,20,27
1,8668,8586,21,22,22,28,26,30
0,10261,8654,30,29,25,19,32,16
0,9825,8456,38,20,38,28,16,35
2,8483,8658,31,34,28,18,23,19
2,9879,8659,17,24,16,25,32,23
0,10260,10194,42,20,40,23,23,24
1,8559,8528,32,25,29,16,31,19
2,8602,8455,20,33,16,34,16,34
2,8586,10260,28,26,30,42,20,40
2,8654,9825,19,32,16,38,20,38
1,8658,10252,18,23,19,22,31,23
2,10194,8668,23,23,24,21,22,22
2,8472,10261,21,20,27,30,29,25
2,8456,8602,28,16,35,20,33,16
0,8455,8655,34,16,34,23,30,22
2,8528,9879,16,31,19,17,24,16
0,8650,8559,23,24,25,32,25,29
2,8659,8483,25,32,23,31,34,28
2,8602,10260,20,33,16,42,20,40
0,10261,9825,30,29,25,38,20,38
2,8455,8650,34,16,34,23,24,25
2,10194,8472,23,23,24,21,20,27
2,8528,8655,16,31,19,23,30,22
1,10252,9879,22,31,23,17,24,16
1,8654,8658,19,32,16,18,23,19
2,8586,8559,28,26,30,32,25,29
0,8456,8659,28,16,35,25,32,23
1,8668,8483,21,22,22,31,34,28
1,8472,8586,21,20,27,28,26,30
1,8659,8654,25,32,23,19,32,16
0,9825,8602,38,20,38,20,33,16
2,8658,10194,18,23,19,23,23,24
1,8650,8528,23,24,25,16,31,19
2,8483,10252,31,34,28,22,31,23
1,8559,8668,32,25,29,21,22,22
0,8655,10261,23,30,22,30,29,25
1,10260,8456,42,20,40,28,16,35
2,9879,8455,17,24,16,34,16,34
2,8655,8586,23,30,22,28,26,30
1,8483,8654,31,34,28,19,32,16
1,10260,10252,42,20,40,22,31,23
0,9825,8668,38,20,38,21,22,22
1,9879,10261,17,24,16,30,29,25
1,8658,8456,18,23,19,28,16,35
0,8559,8602,32,25,29,20,33,16
2,8650,10194,23,24,25,23,23,24
2,8659,8528,25,32,23,16,31,19
0,8472,8455,21,20,27,34,16,34
2,8528,10260,16,31,19,42,20,40
0,8586,9825,28,26,30,38,20,38
2,8654,8650,19,32,16,23,24,25
1,8668,8472,21,22,22,21,20,27
2,10252,8655,22,31,23,23,30,22
0,8456,9879,28,16,35,17,24,16
2,8455,8658,34,16,34,18,23,19
2,10261,8559,30,29,25,32,25,29
0,10194,8659,23,23,24,25,32,23
2,8602,8483,20,33,16,31,34,28
2,8655,10260,23,30,22,42,20,40
2,8650,8586,23,24,25,28,26,30
2,8528,8654,16,31,19,19,32,16
0,9825,10252,38,20,38,22,31,23
0,8659,8668,25,32,23,21,22,22
1,8455,10261,34,16,34,30,29,25
2,8472,8602,21,20,27,20,33,16
1,8658,9879,18,23,19,17,24,16
1,8483,8559,31,34,28,32,25,29
1,8456,10194,28,16,35,23,23,24
2,9879,9825,17,24,16,38,20,38
2,10252,8650,22,31,23,23,24,25
2,8654,8472,19,32,16,21,20,27
2,8559,8456,32,25,29,28,16,35
2,8602,8655,20,33,16,23,30,22
1,8586,8658,28,26,30,18,23,19
2,10261,8659,30,29,25,25,32,23
0,10260,8483,42,20,40,31,34,28
1,10194,8528,23,23,24,16,31,19
1,8668,8455,21,22,22,34,16,34
2,9825,10260,38,20,38,42,20,40
1,8455,8586,34,16,34,28,26,30
0,8456,8654,28,16,35,19,32,16
2,8659,10252,25,32,23,22,31,23
1,8528,8668,16,31,19,21,22,22
2,8650,10261,23,24,25,30,29,25
2,8658,8602,18,23,19,20,33,16
1,8472,9879,21,20,27,17,24,16
2,8655,8559,23,30,22,32,25,29
0,8483,10194,31,34,28,23,23,24
2,10194,9825,23,23,24,38,20,38
2,9879,8650,17,24,16,23,24,25
2,8559,8472,32,25,29,21,20,27
0,8668,8456,21,22,22,28,16,35
1,8654,8655,19,32,16,23,30,22
0,10261,8658,30,29,25,18,23,19
1,8602,8659,20,33,16,25,32,23
2,8586,8483,28,26,30,31,34,28
0,10252,8528,22,31,23,16,31,19
2,10260,8455,42,20,40,34,16,34
2,8472,10260,21,20,27,42,20,40
2,8455,9825,34,16,34,38,20,38
0,8586,10252,28,26,30,22,31,23
1,8658,8668,18,23,19,21,22,22
0,8456,10261,28,16,35,30,29,25
0,8528,8602,16,31,19,20,33,16
0,10194,8655,23,23,24,23,30,22
0,8654,9879,19,32,16,17,24,16
2,8659,8559,25,32,23,32,25,29
2,8650,8483,23,24,25,31,34,28
0,8602,8650,20,33,16,23,24,25
0,8483,8472,31,34,28,21,20,27
2,10261,8586,30,29,25,28,26,30
1,8668,8654,21,22,22,19,32,16
2,10252,8456,22,31,23,28,16,35
1,10260,8658,42,20,40,18,23,19
0,8655,8659,23,30,22,25,32,23
0,9879,10194,17,24,16,23,23,24
1,9825,8528,38,20,38,16,31,19
2,8559,8455,32,25,29,34,16,34
2,8559,8650,32,25,29,23,24,25
2,8655,8472,23,30,22,21,20,27
2,9879,8586,17,24,16,28,26,30
2,8602,8654,20,33,16,19,32,16
2,8483,8456,31,34,28,28,16,35
0,9825,8658,38,20,38,18,23,19
0,10260,8659,42,20,40,25,32,23
2,8668,10194,21,22,22,23,23,24
0,10261,8528,30,29,25,16,31,19
1,10252,8455,22,31,23,34,16,34
2,10194,10260,23,23,24,42,20,40
1,8456,9825,28,16,35,38,20,38
2,8455,8602,34,16,34,20,33,16
1,8528,8559,16,31,19,32,25,29
