result,TeamID,TeamID:1,losses,Points,,Goals:1,losses:1,Points:1
1,8472,9825,24,22,,37,19,33
2,10260,8668,28,46,,32,23,33
2,9850,9879,28,25,,29,34,21
2,8466,8456,36,17,,34,16,39
2,8586,10261,25,33,,23,30,20
0,10003,10172,23,25,,16,33,10
1,10194,9798,14,28,,21,37,10
2,8650,8659,26,25,,28,23,33
2,10252,8654,36,18,,23,27,23
0,8455,8528,19,36,,19,35,15
0,8668,10252,23,33,,15,36,18
2,10261,8455,30,20,,39,19,36
1,8456,8650,16,39,,28,26,25
2,9879,10260,34,21,,48,28,46
1,10172,9850,33,10,,20,28,25
0,8528,8466,35,15,,25,36,17
1,9825,10194,19,33,,18,14,28
2,9798,8472,37,10,,20,24,22
2,8654,10003,27,23,,27,23,25
1,8659,8586,23,33,,34,25,33
2,9798,8455,37,10,,39,19,36
0,9825,8650,19,33,,28,26,25
2,10172,8456,33,10,,34,16,39
1,10252,10261,36,18,,23,30,20
0,10260,8466,28,46,,25,36,17
1,8472,10003,24,22,,27,23,25
1,9850,8586,28,25,,34,25,33
2,8668,8659,23,33,,28,23,33
2,9879,8654,34,21,,23,27,23
1,10194,8528,14,28,,19,35,15
2,8466,9825,36,17,,37,19,33
2,10003,10252,23,25,,15,36,18
1,10261,8668,30,20,,32,23,33
2,8659,9879,23,33,,29,34,21
2,8528,10260,35,15,,48,28,46
1,8654,9850,27,23,,20,28,25
1,8455,10172,19,36,,16,33,10
0,8586,9798,25,33,,21,37,10
1,8456,10194,16,39,,18,14,28
1,8650,8472,26,25,,20,24,22
2,10194,8455,14,28,,39,19,36
0,10260,8650,28,46,,28,26,25
1,9825,8456,19,33,,34,16,39
2,9850,10261,28,25,,23,30,20
2,10252,8466,36,18,,25,36,17
0,8668,10003,23,33,,27,23,25
2,10172,8586,33,10,,34,25,33
2,9798,8659,37,10,,28,23,33
1,8472,8654,24,22,,23,27,23
0,9879,8528,34,21,,19,35,15
