673,KRC Genk
675,Beerschot AC
15005,SV Zulte-Waregem
2007,Sporting Lokeren
1750,KSV Cercle Brugge
229,RSC Anderlecht
674,KAA Gent
1747,RAEC Mons
,FCV Dender EH
232,Standard de Liège
110724,KV Mechelen
231,Club Brugge KV
546,KSV Roeselare
100081,KV Kortrijk
,Tubize
111560,Royal Excel Mouscron
681,KVC Westerlo
670,Sporting Charleroi
680,Sint-Truidense VV
239,Lierse SK
2013,KAS Eupen
100087,Oud-Heverlee Leuven
110913,Waasland-Beveren
682,KV Oostende
111560,Royal Excel Mouscron
11,Manchester United
13,Newcastle United
1,Arsenal
109,West Bromwich Albion
106,Sunderland
9,Liverpool
19,West Ham United
1917,Wigan Athletic
2,Aston Villa
10,Manchester City
7,Everton
3,Blackburn Rovers
12,Middlesbrough
18,Tottenham Hotspur
4,Bolton Wanderers
1806,Stoke City
1952,Hull City
144,Fulham
5,Chelsea
1790,Portsmouth
88,Birmingham City
110,Wolverhampton Wanderers
1796,Burnley
1926,Blackpool
1960,Swansea City
15,Queens Park Rangers
1792,Norwich City
17,Southampton
1793,Reading
1799,Crystal Palace
1961,Cardiff City
95,Leicester City
1943,Bournemouth
1795,Watford
57,AJ Auxerre
71,FC Nantes
59,Girondins de Bordeaux
210,SM Caen
1738,Le Havre AC
72,OGC Nice
1739,Le Mans FC
217,FC Lorient
66,Olympique Lyonnais
1809,Toulouse FC
69,AS Monaco
73,Paris Saint-Germain
1823,AS Nancy-Lorraine
65,LOSC Lille
74,Stade Rennais FC
219,Olympique de Marseille
226,FC Sochaux-Montbéliard
1805,Grenoble Foot 38
110456,Valenciennes FC
1819,AS Saint-Étienne
64,RC Lens
70,Montpellier Hérault SC
111376,US Boulogne Cote D'Opale
111989,AC Arles-Avignon
378,Stade Brestois 29
614,AC Ajaccio
111271,Évian Thonon Gaillard FC
110569,Dijon FCO
379,Stade de Reims
58,SC Bastia
294,ES Troyes AC
62,En Avant de Guingamp
68,FC Metz
1530,Angers SCO
110316,GFC Ajaccio
21,FC Bayern Munich
28,Hamburger SV
32,Bayer 04 Leverkusen
22,Borussia Dortmund
34,FC Schalke 04
485,Hannover 96
175,VfL Wolfsburg
31,1. FC Köln
1824,Eintracht Frankfurt
166,Hertha BSC Berlin
159,DSC Arminia Bielefeld
38,SV Werder Bremen
162,FC Energie Cottbus
10029,TSG 1899 Hoffenheim
23,Borussia Mönchengladbach
36,VfB Stuttgart
1832,Karlsruher SC
160,VfL Bochum
25,SC Freiburg
171,1. FC Nürnberg
169,1. FSV Mainz 05
